,Longitude,Latitude
0,113.725,-26.397
1,113.775,-24.139
2,114.675,-28.257
3,114.708,-27.12
4,114.728,-25.992
5,114.745,-24.866
6,114.76,-23.74
7,114.773,-22.616
8,115.701,-33.593
9,115.646,-31.274
10,115.649,-30.123
11,115.665,-28.979
12,115.688,-27.839
13,115.716,-26.703
14,115.727,-25.578
15,115.735,-24.455
16,115.742,-23.333
17,115.746,-22.212
18,116.784,-34.325
19,116.716,-33.158
20,116.679,-31.997
21,116.665,-30.843
22,116.666,-29.694
23,116.678,-28.551
24,116.697,-27.413
25,116.719,-26.279
26,116.721,-25.156
27,116.721,-24.035
28,116.72,-22.916
29,116.717,-21.798
30,117.893,-35.051
31,117.792,-33.879
32,117.729,-32.714
33,117.695,-31.556
34,117.68,-30.404
35,117.679,-29.257
36,117.687,-28.116
37,117.701,-26.979
38,117.718,-25.846
39,117.711,-24.725
40,117.704,-23.607
41,117.695,-22.491
42,117.685,-21.376
43,118.799,-33.424
44,118.741,-32.262
45,118.708,-31.106
46,118.692,-29.957
47,118.688,-28.812
48,118.692,-27.673
49,118.7,-26.537
50,118.711,-25.405
51,118.697,-24.287
52,118.682,-23.171
53,118.667,-22.056
54,118.65,-20.944
55,119.804,-32.961
56,119.75,-31.802
57,119.718,-30.649
58,119.7,-29.502
59,119.693,-28.359
60,119.692,-27.222
61,119.695,-26.088
62,119.699,-24.957
63,119.678,-23.84
64,119.657,-22.726
65,119.635,-21.614
66,119.612,-20.504
67,120.887,-33.654
68,120.809,-32.491
69,120.757,-31.334
70,120.724,-30.184
71,120.704,-29.039
72,120.693,-27.899
73,120.687,-26.763
74,120.684,-25.631
75,120.682,-24.501
76,120.654,-23.386
77,120.627,-22.274
78,120.598,-21.163
79,120.57,-20.055
80,121.885,-33.172
81,121.812,-32.012
82,121.762,-30.859
83,121.728,-29.711
84,121.705,-28.569
85,121.689,-27.431
86,121.677,-26.297
87,121.668,-25.166
88,121.66,-24.038
89,121.626,-22.925
90,121.592,-21.814
91,121.558,-20.705
92,121.525,-19.597
93,122.981,-33.846
94,122.882,-32.683
95,122.813,-31.527
96,122.763,-30.376
97,122.727,-29.232
98,122.701,-28.092
99,122.68,-26.956
100,122.663,-25.824
101,122.648,-24.695
102,122.633,-23.568
103,122.592,-22.456
104,122.553,-21.346
105,122.514,-20.238
106,122.475,-19.132
107,122.437,-18.028
108,123.971,-33.347
109,123.878,-32.187
110,123.811,-31.034
111,123.761,-29.887
112,123.723,-28.745
113,123.692,-27.608
114,123.666,-26.474
115,123.643,-25.344
116,123.622,-24.217
117,123.6,-23.092
118,123.554,-21.98
119,123.509,-20.871
120,123.464,-19.764
121,123.421,-18.659
122,123.379,-17.556
123,124.873,-31.684
124,124.807,-30.534
125,124.756,-29.39
126,124.714,-28.251
127,124.679,-27.117
128,124.648,-25.986
129,124.619,-24.858
130,124.59,-23.732
131,124.561,-22.608
132,124.51,-21.498
133,124.46,-20.39
134,124.411,-19.283
135,124.363,-18.179
136,124.316,-17.076
137,125.866,-31.174
138,125.8,-30.028
139,125.746,-28.887
140,125.701,-27.751
141,125.661,-26.619
142,125.624,-25.491
143,125.589,-24.365
144,125.553,-23.241
145,125.518,-22.119
146,125.461,-21.009
147,125.406,-19.901
148,125.352,-18.795
149,125.3,-17.691
150,125.25,-16.588
151,125.201,-15.486
152,126.938,-31.805
153,126.856,-30.657
154,126.79,-29.515
155,126.733,-28.378
156,126.684,-27.245
157,126.638,-26.116
158,126.595,-24.989
159,126.553,-23.865
160,126.511,-22.743
161,126.468,-21.623
162,126.407,-20.514
163,126.347,-19.406
164,126.289,-18.3
165,126.233,-17.196
166,126.179,-16.093
167,126.126,-14.991
168,127.925,-31.279
169,127.844,-30.135
170,127.776,-28.996
171,127.716,-27.863
172,127.662,-26.733
173,127.611,-25.606
174,127.561,-24.482
175,127.513,-23.36
176,127.463,-22.24
177,127.413,-21.121
178,127.347,-20.012
179,127.283,-18.905
180,127.221,-17.799
181,127.161,-16.695
182,127.103,-15.591
183,127.047,-14.488
184,128.911,-30.746
185,128.83,-29.606
186,128.759,-28.472
187,128.695,-27.342
188,128.635,-26.215
189,128.578,-25.091
190,128.522,-23.969
191,128.466,-22.85
192,128.41,-21.731
193,128.353,-20.614
194,128.282,-19.505
195,128.214,-18.398
196,128.148,-17.292
197,128.084,-16.187
198,128.022,-15.082
199,129.99,-31.349
200,129.894,-30.208
201,129.812,-29.073
202,129.737,-27.942
203,129.669,-26.815
204,129.603,-25.691
205,129.54,-24.57
206,129.477,-23.451
207,129.415,-22.333
208,129.351,-21.217
209,129.287,-20.101
210,129.212,-18.992
211,129.139,-17.885
212,129.069,-16.778
213,129.002,-15.672
214,130.971,-30.8
215,130.875,-29.664
216,130.79,-28.534
217,130.712,-27.407
218,130.638,-26.283
219,130.567,-25.163
220,130.497,-24.044
221,130.427,-22.928
222,130.357,-21.812
223,130.287,-20.697
224,130.215,-19.583
225,130.136,-18.474
226,130.059,-17.366
227,129.986,-16.259
228,129.914,-15.152
229,129.845,-14.046
230,132.059,-31.384
231,131.95,-30.247
232,131.853,-29.116
233,131.765,-27.99
234,131.682,-26.867
235,131.602,-25.747
236,131.524,-24.629
237,131.448,-23.514
238,131.371,-22.399
239,131.295,-21.286
240,131.217,-20.173
241,131.138,-19.06
242,131.055,-17.951
243,130.974,-16.842
244,130.897,-15.735
245,130.821,-14.627
246,130.749,-13.519
247,133.161,-31.959
248,133.036,-30.821
249,132.927,-29.69
250,132.828,-28.564
251,132.736,-27.442
252,132.647,-26.323
253,132.561,-25.206
254,132.477,-24.092
255,132.394,-22.978
256,132.31,-21.866
257,132.226,-20.755
258,132.141,-19.643
259,132.056,-18.532
260,131.968,-17.423
261,131.884,-16.314
262,131.802,-15.205
263,131.723,-14.096
264,131.646,-12.987
265,134.275,-32.524
266,134.135,-31.386
267,134.012,-30.255
268,133.902,-29.129
269,133.799,-28.007
270,133.702,-26.889
271,133.608,-25.774
272,133.515,-24.661
273,133.424,-23.55
274,133.334,-22.439
275,133.243,-21.329
276,133.152,-20.219
277,133.06,-19.11
278,132.967,-18.0
279,132.876,-16.89
280,132.788,-15.78
281,132.702,-14.671
282,132.619,-13.56
283,132.539,-12.449
284,132.46,-11.337
285,135.601,-34.226
286,135.404,-33.079
287,135.245,-31.941
288,135.109,-30.809
289,134.987,-29.684
290,134.874,-28.564
291,134.767,-27.447
292,134.664,-26.334
293,134.563,-25.222
294,134.464,-24.112
295,134.366,-23.004
296,134.268,-21.896
297,134.17,-20.788
298,134.072,-19.68
299,133.973,-18.572
300,133.874,-17.464
301,133.778,-16.353
302,133.686,-15.243
303,133.597,-14.132
304,133.51,-13.02
305,133.425,-11.907
306,136.548,-33.625
307,136.368,-32.486
308,136.217,-31.355
309,136.082,-30.23
310,135.959,-29.111
311,135.842,-27.996
312,135.729,-26.884
313,135.62,-25.775
314,135.513,-24.667
315,135.407,-23.56
316,135.302,-22.454
317,135.197,-21.349
318,135.092,-20.243
319,134.987,-19.137
320,134.881,-18.03
321,134.775,-16.923
322,134.675,-15.812
323,134.579,-14.701
324,134.486,-13.588
325,134.395,-12.475
326,137.708,-34.161
327,137.504,-33.021
328,137.337,-31.89
329,137.189,-30.767
330,137.054,-29.649
331,136.928,-28.536
332,136.806,-27.426
333,136.688,-26.319
334,136.572,-25.213
335,136.458,-24.109
336,136.345,-23.005
337,136.232,-21.902
338,136.12,-20.798
339,136.008,-19.694
340,135.896,-18.59
341,135.783,-17.485
342,135.67,-16.379
343,135.567,-15.267
344,135.466,-14.155
345,135.369,-13.041
346,139.229,-35.837
347,138.889,-34.687
348,138.655,-33.546
349,138.469,-32.415
350,138.308,-31.293
351,138.162,-30.177
352,138.024,-29.067
353,137.893,-27.959
354,137.766,-26.854
355,137.641,-25.751
356,137.518,-24.649
357,137.397,-23.548
358,137.276,-22.447
359,137.157,-21.346
360,137.037,-20.245
361,136.918,-19.143
362,136.799,-18.04
363,136.68,-16.936
364,136.56,-15.831
365,136.247,-12.49
366,140.201,-36.368
367,140.095,-35.204
368,139.82,-34.061
369,139.613,-32.93
370,139.439,-31.809
371,139.281,-30.696
372,139.133,-29.588
373,138.992,-28.483
374,138.854,-27.381
375,138.72,-26.281
376,138.589,-25.182
377,138.459,-24.084
378,138.33,-22.985
379,138.202,-21.887
380,138.075,-20.788
381,137.949,-19.689
382,137.823,-18.588
383,137.697,-17.487
384,137.571,-16.384
385,141.238,-38.03
386,141.24,-36.882
387,141.346,-35.708
388,141.002,-34.565
389,140.77,-33.434
390,140.581,-32.315
391,140.412,-31.204
392,140.254,-30.099
393,140.102,-28.998
394,139.955,-27.9
395,139.811,-26.803
396,139.67,-25.707
397,139.531,-24.612
398,139.394,-23.516
399,139.257,-22.421
400,139.122,-21.325
401,138.988,-20.228
402,138.855,-19.13
403,138.721,-18.031
404,138.589,-16.931
405,142.34,-37.374
406,142.342,-36.22
407,142.206,-35.059
408,141.941,-33.927
409,141.737,-32.81
410,141.556,-31.703
411,141.387,-30.602
412,141.225,-29.505
413,141.068,-28.411
414,140.914,-27.318
415,140.763,-26.225
416,140.614,-25.133
417,140.467,-24.041
418,140.322,-22.948
419,140.179,-21.855
420,140.036,-20.761
421,139.895,-19.666
422,139.754,-18.57
423,143.492,-37.835
424,143.423,-36.707
425,143.455,-35.542
426,143.125,-34.409
427,142.905,-33.294
428,142.714,-32.192
429,142.534,-31.097
430,142.362,-30.005
431,142.193,-28.915
432,142.029,-27.826
433,141.867,-26.737
434,141.709,-25.648
435,141.552,-24.56
436,141.398,-23.47
437,141.245,-22.38
438,141.094,-21.288
439,140.944,-20.196
440,140.796,-19.102
441,140.648,-18.007
442,144.573,-37.157
443,144.489,-36.031
444,144.323,-34.879
445,144.088,-33.768
446,143.887,-32.673
447,143.697,-31.584
448,143.513,-30.498
449,143.333,-29.413
450,143.157,-28.329
451,142.985,-27.244
452,142.815,-26.159
453,142.648,-25.073
454,142.484,-23.987
455,142.321,-22.899
456,142.161,-21.811
457,142.002,-20.721
458,141.846,-19.63
459,141.69,-18.538
460,141.536,-17.443
461,141.383,-16.348
462,145.907,-38.647
463,145.77,-37.558
464,145.639,-36.466
465,145.553,-35.34
466,145.288,-34.233
467,145.079,-33.149
468,144.877,-32.069
469,144.681,-30.989
470,144.488,-29.909
471,144.3,-28.829
472,144.116,-27.748
473,143.934,-26.667
474,143.756,-25.584
475,143.581,-24.5
476,143.408,-23.416
477,143.238,-22.33
478,143.07,-21.243
479,142.905,-20.154
480,142.741,-19.064
481,142.579,-17.972
482,142.418,-16.878
483,142.259,-15.783
484,142.101,-14.686
485,141.945,-13.586
486,141.789,-12.485
487,146.989,-37.903
488,146.837,-36.817
489,146.683,-35.717
490,146.514,-34.733
491,146.295,-33.642
492,146.078,-32.564
493,145.867,-31.487
494,145.66,-30.41
495,145.458,-29.332
496,145.261,-28.254
497,145.067,-27.175
498,144.877,-26.094
499,144.69,-25.013
500,144.507,-23.931
501,144.326,-22.847
502,144.148,-21.762
503,143.973,-20.675
504,143.8,-19.587
505,143.63,-18.497
506,143.461,-17.406
507,143.294,-16.313
508,143.129,-15.217
509,142.966,-14.12
510,142.804,-13.021
511,142.643,-11.919
512,142.505,-10.801
513,148.011,-37.066
514,147.966,-36.096
515,147.823,-35.079
516,147.591,-34.073
517,147.287,-33.136
518,147.068,-32.023
519,146.847,-30.934
520,146.631,-29.851
521,146.42,-28.77
522,146.212,-27.69
523,146.01,-26.609
524,145.811,-25.529
525,145.616,-24.447
526,145.425,-23.364
527,145.236,-22.28
528,145.051,-21.195
529,144.869,-20.109
530,144.69,-19.021
531,144.512,-17.931
532,144.337,-16.84
533,144.165,-15.746
534,143.994,-14.651
535,149.346,-37.446
536,149.248,-36.452
537,149.095,-35.436
538,148.89,-34.418
539,148.64,-33.416
540,148.352,-32.449
541,148.032,-31.533
542,147.812,-30.412
543,147.589,-29.313
544,147.37,-28.223
545,147.154,-27.137
546,146.943,-26.053
547,146.736,-24.97
548,146.533,-23.886
549,146.334,-22.802
550,146.139,-21.717
551,145.947,-20.631
552,145.758,-19.544
553,145.572,-18.456
554,145.388,-17.365
555,145.208,-16.273
556,145.029,-15.18
557,150.169,-34.762
558,149.935,-33.749
559,149.673,-32.75
560,149.386,-31.775
561,149.078,-30.831
562,148.753,-29.926
563,148.53,-28.8
564,148.306,-27.694
565,148.084,-26.598
566,147.866,-25.507
567,147.652,-24.419
568,147.442,-23.332
569,147.236,-22.245
570,147.034,-21.158
571,146.835,-20.07
572,150.963,-33.072
573,150.69,-32.077
574,150.401,-31.098
575,150.096,-30.142
576,149.779,-29.212
577,149.451,-28.313
578,149.226,-27.185
579,149.001,-26.074
580,148.777,-24.973
581,148.557,-23.877
582,148.341,-22.784
583,148.128,-21.693
584,147.92,-20.603
585,151.975,-32.388
586,151.693,-31.395
587,151.399,-30.415
588,151.094,-29.453
589,150.78,-28.511
590,150.458,-27.591
591,150.129,-26.695
592,149.903,-25.565
593,149.676,-24.45
594,149.451,-23.345
595,149.23,-22.245
596,149.012,-21.148
597,152.681,-30.705
598,152.382,-29.726
599,152.076,-28.76
600,151.762,-27.81
601,151.443,-26.878
602,151.118,-25.965
603,150.789,-25.073
604,150.561,-23.941
605,150.333,-22.822
606,153.352,-29.029
607,153.043,-28.062
608,152.728,-27.107
609,152.409,-26.167
610,152.087,-25.243
611,151.761,-24.335
