target,source,right,pat,wt,dof,chisq,p,f4rank,GermanShepherdDog,Dingo_Ancient_Nullarbor,Dingo_Ancient_Curracurrang,feasible,best,dofdiff,chisqdiff,p_nested,weight_GermanShepherdDog,weight_Dingo_Ancient_Nullarbor,weight_Dingo_Ancient_Curracurrang,se_GermanShepherdDog,se_Dingo_Ancient_Nullarbor,se_Dingo_Ancient_Curracurrang,z_GermanShepherdDog,z_Dingo_Ancient_Nullarbor,z_Dingo_Ancient_Curracurrang,num_sources,num_right,all_above_3,sum_above_3,rank
Dingo02,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,4.05875902027579,0.398112084610755,1,0.147209703338496,NA,0.852790296661504,TRUE,NA,NA,NA,NA,0.147209703338496,NA,0.852790296661504,0.0105208301729939,NA,0.0105208301729939,13.9922136293361,NA,81.0573198729642,2,6,TRUE,2,1
Dingo03,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,11.5109669667213,0.0213836441685471,1,0.0152366528684441,NA,0.984763347131556,TRUE,NA,NA,NA,NA,0.0152366528684441,NA,0.984763347131556,0.00673067065892908,NA,0.00673067065892894,2.2637644360493,NA,146.309839989744,2,6,TRUE,2,1
Dingo05,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.71038382750011,0.446617456551819,1,0.203742201479996,0.796257798520004,NA,TRUE,NA,NA,NA,NA,0.203742201479996,0.796257798520004,NA,0.0118564217005157,0.0118564217005157,NA,17.1841223791099,67.1583567650406,NA,2,6,TRUE,2,1
Dingo06,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,3.2994641677285,0.509017160219452,1,0.229326897329589,NA,0.770673102670411,TRUE,NA,NA,NA,NA,0.229326897329589,NA,0.770673102670411,0.0112200331343477,NA,0.0112200331343478,20.4390570494444,NA,68.6872394619903,2,6,TRUE,2,1
Dingo08,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,1.82780758078496,0.767391049322338,1,0.220114466855006,NA,0.779885533144994,TRUE,NA,NA,NA,NA,0.220114466855006,NA,0.779885533144994,0.0117259750220131,NA,0.0117259750220131,18.7715278637202,NA,66.5092268814251,2,6,TRUE,2,1
Dingo09,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,3.86052819582206,0.425210242926097,1,0.0757956015436952,NA,0.924204398456305,TRUE,NA,NA,NA,NA,0.0757956015436952,NA,0.924204398456305,0.00849399025905219,NA,0.00849399025905223,8.92343871750013,NA,108.806858763625,2,6,TRUE,2,1
Dingo10,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,9.4692687733315,0.0503825502349421,1,0.0319631558424415,NA,0.968036844157559,TRUE,NA,NA,NA,NA,0.0319631558424415,NA,0.968036844157559,0.00743320734643143,NA,0.0074332073464314,4.30004900344755,NA,130.23137913976,2,6,TRUE,2,1
Dingo12,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.1497895630064,0.533078753924877,1,0.128622079975776,0.871377920024224,NA,TRUE,NA,NA,NA,NA,0.128622079975776,0.871377920024224,NA,0.0108856066908075,0.0108856066908075,NA,11.8157934260469,80.0486316265746,NA,2,6,TRUE,2,1
Dingo13,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.89156402914554,0.420879927858644,1,0.142615741172347,0.857384258827653,NA,TRUE,NA,NA,NA,NA,0.142615741172347,0.857384258827653,NA,0.0108995602897622,0.0108995602897622,NA,13.084540787054,78.6622795814051,NA,2,6,TRUE,2,1
Dingo14,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,5.05671946263513,0.281527080952418,1,0.126122157910427,0.873877842089573,NA,TRUE,NA,NA,NA,NA,0.126122157910427,0.873877842089573,NA,0.00986216195533096,0.009862161955331,NA,12.7884898343463,88.6091554820997,NA,2,6,TRUE,2,1
Dingo15,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,1.76770092417425,0.778386056226911,1,0.135157937674922,0.864842062325078,NA,TRUE,NA,NA,NA,NA,0.135157937674922,0.864842062325078,NA,0.0112336668646232,0.0112336668646232,NA,12.0315066579514,76.9866217992112,NA,2,6,TRUE,2,1
Dingo16,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,1.57622541955522,0.813058677310847,1,0.132106263602187,0.867893736397813,NA,TRUE,NA,NA,NA,NA,0.132106263602187,0.867893736397813,NA,0.0114246801591549,0.011424680159155,NA,11.5632351857419,75.9665674931249,NA,2,6,TRUE,2,1
Dingo17,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,5.30355030750609,0.257544756870872,1,0.165934403719275,NA,0.834065596280725,TRUE,NA,NA,NA,NA,0.165934403719275,NA,0.834065596280725,0.0107157406216838,NA,0.0107157406216837,15.4851082699314,NA,77.8355529241683,2,6,TRUE,2,1
Dingo18,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,6.66946405025504,0.154421062832685,1,0.192598122329109,NA,0.807401877670891,TRUE,NA,NA,NA,NA,0.192598122329109,NA,0.807401877670891,0.010671321964101,NA,0.010671321964101,18.0481971190656,NA,75.6609050300463,2,6,TRUE,2,1
Dingo19,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.76541638816037,0.43868309905571,1,0.128046577505577,0.871953422494423,NA,TRUE,NA,NA,NA,NA,0.128046577505577,0.871953422494423,NA,0.0104347246437014,0.0104347246437014,NA,12.2711985105298,83.5626671778785,NA,2,6,TRUE,2,1
Dingo20,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.21664020206552,0.522247468227681,1,0.240223889009399,0.759776110990601,NA,TRUE,NA,NA,NA,NA,0.240223889009399,0.759776110990601,NA,0.011196118109535,0.0111961181095349,NA,21.4559981110611,67.8606730973616,NA,2,6,TRUE,2,1
Dingo21,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,6.85158364862866,0.14394231952362,1,0.0983525712943783,NA,0.901647428705622,TRUE,NA,NA,NA,NA,0.0983525712943783,NA,0.901647428705622,0.00906654178740446,NA,0.0090665417874045,10.8478594816618,NA,99.4477773166188,2,6,TRUE,2,1
Dingo22,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,1.14915137028845,0.886397436152399,1,0.117825997790905,0.882174002209095,NA,TRUE,NA,NA,NA,NA,0.117825997790905,0.882174002209095,NA,0.0106335099259862,0.0106335099259863,NA,11.0806308181423,82.9616945250815,NA,2,6,TRUE,2,1
Dingo23,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,3.21486620579366,0.522533150626048,1,0.204281022880981,NA,0.795718977119019,TRUE,NA,NA,NA,NA,0.204281022880981,NA,0.795718977119019,0.01140881376247,NA,0.01140881376247,17.9055445319807,NA,69.7459870662966,2,6,TRUE,2,1
Dingo24,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,2.70905254406693,0.607631465434289,1,0.212980203319994,NA,0.787019796680006,TRUE,NA,NA,NA,NA,0.212980203319994,NA,0.787019796680006,0.0118512934592604,NA,0.0118512934592604,17.9710513499752,NA,66.4079241127088,2,6,TRUE,2,1
Dingo25,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,3.3434223731273,0.502081899796637,1,0.215279695334992,0.784720304665008,NA,TRUE,NA,NA,NA,NA,0.215279695334992,0.784720304665008,NA,0.0120686388160565,0.0120686388160565,NA,17.8379433352979,65.0214424862059,NA,2,6,TRUE,2,1
Dingo26,GermanShepherdDog|Dingo_Ancient_Nullarbor,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Curracurrang,0,0,4,2.15765397267591,0.70678893015463,1,0.194222736805646,0.805777263194354,NA,TRUE,NA,NA,NA,NA,0.194222736805646,0.805777263194354,NA,0.0112232748091051,0.0112232748091051,NA,17.3053533936529,71.7952003225167,NA,2,6,TRUE,2,1
Dingo27,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,12.2322252843691,0.0157053942461464,1,0.185423498718369,NA,0.814576501281631,TRUE,NA,NA,NA,NA,0.185423498718369,NA,0.814576501281631,0.0111440955009826,NA,0.0111440955009826,16.6387212584475,NA,73.094895966192,2,6,TRUE,2,1
Dingo28,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,5.53106476499392,0.237012326609749,1,0.160007897731375,NA,0.839992102268625,TRUE,NA,NA,NA,NA,0.160007897731375,NA,0.839992102268625,0.0121841100615786,NA,0.0121841100615785,13.1325059378727,NA,68.9416049283289,2,6,TRUE,2,1
Dingo29,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,8.22955233117437,0.0835222239428061,1,0.224685999319992,NA,0.775314000680008,TRUE,NA,NA,NA,NA,0.224685999319992,NA,0.775314000680008,0.0112408041916998,NA,0.0112408041916998,19.9884274726447,NA,68.9731790944724,2,6,TRUE,2,1
Dingo30,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,4.57577909300777,0.333656365050338,1,0.243903127164504,NA,0.756096872835496,TRUE,NA,NA,NA,NA,0.243903127164504,NA,0.756096872835496,0.0109556748312526,NA,0.0109556748312527,22.2627205463177,NA,69.0141761672788,2,6,TRUE,2,1
Dingo31,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,8.81882298897166,0.0657910683911351,1,0.129138084062477,NA,0.870861915937523,TRUE,NA,NA,NA,NA,0.129138084062477,NA,0.870861915937523,0.0118501722495906,NA,0.0118501722495906,10.8975702076346,NA,73.4893888118468,2,6,TRUE,2,1
Dingo32,GermanShepherdDog|Dingo_Ancient_Curracurrang,CoyoteCalifornia|Zhokhov9500BP.CGG6|Germany_7k|Ireland_Neolithic.Newgrange|Russia_Baikal_7k|Dingo_Ancient_Nullarbor,0,0,4,5.37608939891907,0.250837922981305,1,0.122998323684732,NA,0.877001676315268,TRUE,NA,NA,NA,NA,0.122998323684732,NA,0.877001676315268,0.0112971711403721,NA,0.0112971711403721,10.887533007726,NA,77.6302018813517,2,6,TRUE,2,1
